RunNumber,Turbine,m,RootMxb1,RootMyb1,Spn1MLxb1,Spn1MLyb1,Spn2MLxb1,Spn2MLyb1,Spn3MLxb1,Spn3MLyb1,Spn4MLxb1,Spn4MLyb1,Spn5MLxb1,Spn5MLyb1,Spn6MLxb1,Spn6MLyb1
1,1,9,6431,4664,4981,4682,2942,3192,1337,1779,446.5,778.8,70.9,163.5,1.08,2.913
1,1,10,6564,4894,5078,4899,3000,3352,1364,1874,456.5,821.3,72.77,172.5,1.112,3.066
1,1,11,6678,5099,5159,5093,3049,3496,1387,1958,465.2,858.6,74.45,180.4,1.141,3.202
1,1,12,6778,5284,5229,5269,3091,3626,1407,2034,473,891.6,75.99,187.3,1.167,3.322
1,1,13,6866,5450,5290,5429,3128,3744,1425,2101,480,920.8,77.4,193.5,1.192,3.428
1,2,9,6352,4618,5010,4577,2956,3036,1347,1594,452.1,616.8,71.28,125,1.062,2.278
1,2,10,6491,4879,5113,4851,3018,3219,1377,1688,463.2,650.4,73.2,131.3,1.092,2.397
1,2,11,6611,5109,5201,5098,3071,3383,1403,1772,473.1,680.4,74.93,137,1.119,2.504
1,2,12,6717,5313,5276,5321,3117,3531,1427,1847,481.9,707.1,76.49,142.1,1.144,2.599
1,2,13,6811,5495,5341,5523,3157,3664,1447,1914,489.9,731.1,77.93,146.7,1.167,2.686
2,1,9,5865,2869,4685,2896,2740,1897,1218,1002,395.3,419.4,59.71,86.11,0.8487,1.454
2,1,10,6002,3039,4794,3051,2804,2004,1246,1057,404.8,442.5,61.2,90.45,0.8704,1.52
2,1,11,6116,3193,4886,3193,2858,2101,1271,1108,412.8,463.4,62.48,94.44,0.8891,1.581
2,1,12,6214,3332,4964,3323,2904,2190,1291,1153,419.7,482.4,63.58,98.11,0.9054,1.637
2,1,13,6298,3457,5032,3443,2944,2270,1309,1194,425.7,499.6,64.55,101.5,0.9198,1.689
2,2,9,5658,2123,4579,2179,2661,1381,1166,747.9,371.9,321.2,54.78,67.82,0.7663,1.119
2,2,10,5793,2236,4689,2290,2724,1452,1194,785.8,380.8,336.5,56.12,71.05,0.7855,1.169
