Run,Turbine,Seed,meanU,Ti,alpha,HFlowAng,distBetweenWTG
1,1,1,12.4164696,14.5120001,0.1,-0.22,3
1,2,1,9.651371,18.3810883,0.1,-0.22,3
2,1,1,6.3047924,23.0510006,-0.046,-3.103,3
2,2,1,4.5155659,28.2185402,-0.046,-3.103,3
3,1,1,14.6284752,16.118,0.302,0.393,3
3,2,1,12.8456593,17.5176411,0.302,0.393,3
4,1,1,7.5742292,24.9130001,0.144,-3.404,3
4,2,1,5.5760946,29.2513218,0.144,-3.404,3
5,1,1,11.0544834,17.3029995,0.151,-0.242,3
5,2,1,7.8415947,22.886528,0.151,-0.242,3
6,1,1,4.006834,31.2980003,0.175,-0.28,3
6,2,1,2.9615655,40.2944984,0.175,-0.28,3
7,1,1,20.1166649,15.5550003,0.119,0.4,3
7,2,1,19.0840282,15.6088762,0.119,0.4,3
8,1,1,8.8960161,17.1240005,0.156,-0.649,3
8,2,1,6.5870447,21.6051369,0.156,-0.649,3
9,1,1,13.394639,17.2770004,0.147,-1.529,3
9,2,1,11.1272707,19.3066483,0.147,-1.529,3
10,1,1,7.2195587,21.7350006,0.334,-3.777,3
10,2,1,5.1383529,26.970789,0.334,-3.777,3
11,1,1,14.9409218,15.9460001,0.207,-0.738,3
11,2,1,13.2093744,17.180254,0.207,-0.738,3
12,1,1,7.8257337,16.8260002,0.394,0.866,3
12,2,1,5.4296303,23.084837,0.394,0.866,3
13,1,1,10.3254614,17.5879993,0.066,0.954,3
13,2,1,7.3346806,22.9619007,0.066,0.954,3
14,1,1,5.4167814,30.0499992,-0.061,-0.317,3
14,2,1,4.0895686,38.3100853,-0.061,-0.317,3
15,1,1,18.2893295,13.1789999,0.105,-1.316,3
15,2,1,17.0415668,14.3354111,0.105,-1.316,3
16,1,1,9.8498716,15.7139997,0.104,-0.006,3
16,2,1,7.1809168,20.7489185,0.104,-0.006,3
17,1,1,11.8376331,15.2340002,0.116,-2.147,3
17,2,1,8.8873329,19.5697308,0.116,-2.147,3
18,1,1,5.7219019,23.1380005,0.078,-1.108,3
18,2,1,4.1039839,28.3544273,0.078,-1.108,3
19,1,1,13.7413445,16.8500004,0.166,0.524,3
19,2,1,11.4740438,18.9018726,0.166,0.524,3
20,1,1,7.2455163,20.2469997,0.229,-0.302,3
20,2,1,5.2487211,25.1772747,0.229,-0.302,3
21,1,1,11.4825163,14.8549995,0.055,-2.57,3
21,2,1,8.2359753,20.4094677,0.055,-2.57,3
22,1,1,4.7335553,22.4699993,-0.165,1.015,3
22,2,1,3.3192356,28.0087948,-0.165,1.015,3
23,1,1,21.9757633,12.7980003,0.135,-1.629,3
23,2,1,21.1442719,13.7120628,0.135,-1.629,3
24,1,1,8.7470045,20.9500008,0.058,-2.104,3
24,2,1,6.2739968,26.1082859,0.058,-2.104,3
25,1,1,12.4892483,15.6809998,0.301,-1.75,3
25,2,1,9.8058681,19.0338802,0.301,-1.75,3
26,1,1,6.7163353,27.8339996,-0.158,-1.119,3
26,2,1,4.9157276,37.5882721,-0.158,-1.119,3
27,1,1,15.5641069,16.2140007,0.241,-0.387,3
27,2,1,13.9399652,17.0802593,0.241,-0.387,3
28,1,1,8.3449554,17.8439999,0.12,-0.923,3
28,2,1,5.9460559,23.1569214,0.12,-0.923,3
29,1,1,10.8931952,19.3700008,0.076,-2.365,3
29,2,1,7.987371,24.0867252,0.076,-2.365,3
30,1,1,5.213747,23.6639996,-0.073,0.069,3
30,2,1,3.9261143,27.3100662,-0.073,0.069,3
31,1,1,16.3717384,13.7950001,0.086,1.331,3
31,2,1,14.8801155,15.0746756,0.086,1.331,3
32,1,1,9.567399,21.3129997,0.068,1.446,3
32,2,1,6.8532767,26.5301247,0.068,1.446,3
33,1,1,12.250042,16.3530006,0.136,-1.252,3
33,2,1,9.3256893,20.2042923,0.136,-1.252,3
34,1,1,6.1108136,23.4659996,-0.107,-3.386,3
34,2,1,4.406548,28.3289509,-0.107,-3.386,3
35,1,1,14.2720165,15.6409998,0.165,-0.05,3
35,2,1,12.2811279,17.307785,0.165,-0.05,3
36,1,1,7.5174551,17.9510002,0.247,-1.761,3
36,2,1,5.2202182,23.9872704,0.247,-1.761,3
37,1,1,10.9483938,16.3759995,0.231,-2.451,3
37,2,1,8.2013855,20.7426395,0.231,-2.451,3
38,1,1,4.3540115,25.4820004,0.153,-2.272,3
38,2,1,3.2050145,35.7434998,0.153,-2.272,3
39,1,1,19.0285816,14.6379995,0.109,0.303,3
39,2,1,17.9493122,15.1473331,0.109,0.303,3
40,1,1,9.270339,13.7799997,-0.016,0.243,3
40,2,1,6.3588862,20.5710545,-0.016,0.243,3
41,1,1,13.1547995,14.8970003,0.165,-0.254,3
41,2,1,10.7157497,17.7607689,0.165,-0.254,3
42,1,1,6.9762692,24.2619991,0.037,1.682,3
42,2,1,4.995101,29.3236504,0.037,1.682,3
43,1,1,15.1231232,13.618,0.106,0.524,3
43,2,1,13.3785896,15.4651804,0.106,0.524,3
44,1,1,8.0931244,19.6730003,0.091,-1.249,3
44,2,1,5.6852145,25.6054974,0.091,-1.249,3
45,1,1,10.1632938,16.6730003,0.286,-1.006,3
45,2,1,7.4623709,21.401495,0.286,-1.006,3
46,1,1,5.6348672,19.7730007,-0.1,2.231,3
46,2,1,3.935071,25.7301369,-0.1,2.231,3
47,1,1,17.9293079,14.6230001,0.173,-0.556,3
47,2,1,16.6926498,15.3096924,0.173,-0.556,3
48,1,1,9.8904219,18.8649998,0.087,-1.58,3
48,2,1,6.8959818,24.7030678,0.087,-1.58,3
49,1,1,12.201066,16.9389992,0.106,-1.041,3
49,2,1,9.5191545,20.1851768,0.106,-1.041,3
50,1,1,5.8715377,24.0650005,0.266,-5.662,3
50,2,1,4.3115215,28.4480896,0.266,-5.662,3
51,1,1,14.010684,17.809,0.231,-2.638,3
51,2,1,11.9026775,19.3190727,0.231,-2.638,3
52,1,1,7.4014559,23.0230007,0.2,0.338,3
52,2,1,5.2497993,28.4996929,0.2,0.338,3
53,1,1,11.2122211,18.3120003,0.075,-0.422,3
53,2,1,8.1207428,23.1726551,0.075,-0.422,3
54,1,1,4.6191549,29.3260002,0.034,-4.434,3
54,2,1,3.4058518,38.7547722,0.034,-4.434,3
55,1,1,20.8717861,13.5509996,0.09,0.758,3
55,2,1,19.92836,14.1966333,0.09,0.758,3
56,1,1,8.5675402,15.4870005,0.156,-2.602,3
56,2,1,6.0047045,21.4834366,0.156,-2.602,3
57,1,1,12.9990587,16.8290005,0.044,0.573,3
57,2,1,10.6008244,19.2490578,0.044,0.573,3
58,1,1,6.8881407,17.0060005,0.075,-2.874,3
58,2,1,4.9486871,22.1164265,0.075,-2.874,3
59,1,1,16.0552921,18.3220005,0.129,-1.366,3
59,2,1,14.501997,18.5343704,0.129,-1.366,3
60,1,1,8.618021,19.1049995,0.066,-0.925,3
60,2,1,6.0767307,24.9200096,0.066,-0.925,3
61,1,1,10.4125977,16.5799999,0.188,-1.571,3
61,2,1,7.3139734,22.4967632,0.188,-1.571,3
62,1,1,4.977901,25.9899998,0.052,-1.095,3
62,2,1,3.6745241,35.7715874,0.052,-1.095,3
63,1,1,16.8921318,15.8839998,0.112,-0.888,3
63,2,1,15.4786282,16.5255661,0.112,-0.888,3
64,1,1,9.3645878,17.2740002,0.238,0.457,3
64,2,1,6.5141144,23.327631,0.238,0.457,3
65,1,1,12.320281,16.8939991,0.038,-0.829,3
65,2,1,9.4351606,20.6660423,0.038,-0.829,3
66,1,1,6.3188162,20.802,0.143,-2.496,3
66,2,1,4.3818779,27.0265312,0.143,-2.496,3
67,1,1,14.4641285,15.2580004,0.174,-0.003,3
67,2,1,12.3755875,17.2035275,0.174,-0.003,3
68,1,1,7.8111148,16.8700008,0.077,-1.14,3
68,2,1,5.3821855,23.1670341,0.077,-1.14,3
69,1,1,11.1340857,18.2970009,0.138,0.256,3
69,2,1,8.1166611,22.89995,0.138,0.256,3
70,1,1,4.2212925,18.9230003,-0.169,2.822,3
70,2,1,3.043294,23.9297371,-0.169,2.822,3
71,1,1,19.3399258,17.3649998,0.201,-1.455,3
71,2,1,18.3455925,16.9804878,0.201,-1.455,3
72,1,1,9.0417051,18.1149998,0.085,-2.189,3
72,2,1,6.3324528,23.9425259,0.085,-2.189,3
73,1,1,13.4760904,15.3970003,0.119,-1.443,3
73,2,1,11.119318,17.8180828,0.119,-1.443,3
74,1,1,7.3011904,27.1779995,-0.211,-1.05,3
74,2,1,5.3029327,36.8741264,-0.211,-1.05,3
75,1,1,14.9093094,15.5539999,0.227,0.683,3
75,2,1,13.1235762,16.8432579,0.227,0.683,3
76,1,1,8.0451403,19.6429996,-0.078,-1.043,3
76,2,1,5.6310658,25.6819782,-0.078,-1.043,3
77,1,1,10.3609657,16.0890007,0.138,0.557,3
