RunNumber,Turbine,m,LSSGagMya,LSSGagMza
1,1,6,5284,5230
1,1,7,5676,5575
1,2,6,5204,5194
1,2,7,5582,5534
2,1,6,5322,5295
2,1,7,5658,5617
2,2,6,4699,4726
2,2,7,4984,5011
3,1,6,5523,5471
3,1,7,5946,5861
3,2,6,5560,5586
3,2,7,5953,5970
4,1,6,4811,4764
4,1,7,5123,5056
4,2,6,4327,4290
4,2,7,4605,4563
5,1,6,6146,6285
5,1,7,6568,6741
5,2,6,5249,5383
5,2,7,5619,5773
6,1,6,4090,4115
6,1,7,4332,4360
6,2,6,3909,3933
6,2,7,4135,4162
7,1,6,6110,6384
7,1,7,6560,6920
7,2,6,6080,6326
7,2,7,6524,6844
8,1,6,4476,4418
8,1,7,4743,4683
8,2,6,4096,4038
8,2,7,4344,4276
9,1,6,5614,5579
9,1,7,6030,5983
9,2,6,5473,5555
9,2,7,5873,5975
10,1,6,4012,4008
10,1,7,4280,4265
10,2,6,3680,3752
10,2,7,3917,4006
11,1,6,5499,5507
11,1,7,5962,6012
11,2,6,5390,5465
11,2,7,5814,5914
12,1,6,3438,3360
12,1,7,3690,3610
12,2,6,3270,3191
12,2,7,3504,3427
13,1,6,5431,5518
13,1,7,5768,5880
13,2,6,4895,4834
13,2,7,5215,5140
14,1,6,5628,5494
14,1,7,6018,5859
14,2,6,5166,5083
14,2,7,5500,5408
15,1,6,5246,5439
15,1,7,5586,5829
15,2,6,5387,5522
15,2,7,5754,5924
16,1,6,4583,4606
16,1,7,4858,4875
16,2,6,4264,4178
16,2,7,4527,4430
17,1,6,5624,5467
17,1,7,6034,5853
17,2,6,5421,5562
17,2,7,5854,6018
18,1,6,4584,4602
18,1,7,4846,4873
18,2,6,4248,4279
18,2,7,4490,4526
19,1,6,5661,5661
19,1,7,6050,6081
19,2,6,5637,5597
19,2,7,6000,5987
20,1,6,4079,4072
20,1,7,4355,4352
20,2,6,3770,3813
20,2,7,4016,4062
21,1,6,5693,5724
21,1,7,6064,6107
21,2,6,5418,5522
21,2,7,5788,5910
22,1,6,4983,4951
22,1,7,5265,5229
22,2,6,4567,4530
22,2,7,4828,4789
23,1,6,5094,5141
23,1,7,5425,5458
23,2,6,5463,5397
23,2,7,5817,5739
24,1,6,5861,5857
24,1,7,6244,6241
24,2,6,5020,5031
24,2,7,5332,5352
25,1,6,4852,4853
25,1,7,5190,5187
25,2,6,4608,4693
25,2,7,4904,5018
26,1,6,6339,6359
26,1,7,6737,6760
26,2,6,5871,5837
26,2,7,6256,6209
27,1,6,5343,5140
27,1,7,5749,5511
27,2,6,5207,5078
27,2,7,5604,5439
28,1,6,4716,4682
28,1,7,4997,4960
28,2,6,4202,4177
28,2,7,4466,4434
29,1,6,6713,6623
29,1,7,7186,7078
29,2,6,5574,5400
29,2,7,5954,5748
30,1,6,4805,4798
30,1,7,5072,5065
30,2,6,4446,4449
30,2,7,4693,4696
31,1,6,5813,5749
31,1,7,6220,6176
31,2,6,6024,6015
31,2,7,6453,6478
32,1,6,6340,6390
32,1,7,6733,6797
32,2,6,5432,5400
32,2,7,5772,5734
33,1,6,5506,5637
33,1,7,5904,6071
33,2,6,5037,5104
33,2,7,5382,5468
34,1,6,5445,5422
34,1,7,5754,5730
34,2,6,4861,4906
34,2,7,5136,5184
35,1,6,4813,4952
35,1,7,5146,5321
35,2,6,5082,4918
35,2,7,5471,5263
36,1,6,4172,4147
36,1,7,4448,4423
36,2,6,3838,3814
36,2,7,4089,4054
37,1,6,4628,4632
37,1,7,4951,4962
37,2,6,3868,3827
37,2,7,4184,4127
38,1,6,4015,3991
38,1,7,4255,4224
38,2,6,3876,3865
38,2,7,4107,4090
39,1,6,5558,5589
39,1,7,5937,5964
39,2,6,5571,5589
39,2,7,5961,5969
