RunNumber,Turbine,m,TwrBsMxt,TwrBsMyt,TwHt1MLxt,TwHt1MLyt,TwHt2MLxt,TwHt2MLyt,TwHt3MLxt,TwHt3MLyt,TwHt4MLxt,TwHt4MLyt,TwHt5MLxt,TwHt5MLyt,TwHt6MLxt,TwHt6MLyt
1,1,3,4826,10760,4393,9681,3556,7647,2595,5583,1780,4011,957,2780,454.1,2439
1,1,4,5551,13690,5059,12410,4106,9956,3000,7342,2057,5201,1114,3417,560.9,2806
1,2,3,2460,9708,2228,8755,1774,6979,1310,5046,965.3,3540,656.3,2466,519.4,2394
1,2,4,2913,12810,2653,11700,2141,9532,1601,6962,1196,4746,876.8,3015,748.5,2713
2,1,3,2295,13750,2103,12600,1722,10290,1268,7523,854.2,4941,471.6,2665,273.7,1756
2,1,4,2689,16840,2469,15480,2029,12710,1499,9321,1018,6119,591.8,3264,392.5,2030
2,2,3,3067,15930,2821,14670,2331,12190,1707,8976,1116,5923,550.9,3031,197.4,1439
2,2,4,3600,19570,3311,18070,2738,15080,2006,11130,1312,7336,654.7,3716,262,1641
3,1,3,4392,14310,3938,12880,3051,10360,2207,7516,1638,5296,987.7,3445,568.7,2846
3,1,4,5105,18740,4600,16950,3606,13760,2614,10040,1910,6991,1132,4356,642.8,3320
3,2,3,5884,15160,5346,13730,4303,10950,3137,8012,2189,5792,1214,3750,619.3,2993
3,2,4,6827,19330,6212,17610,5021,14200,3666,10440,2545,7470,1407,4653,734.7,3436
4,1,3,2747,11210,2508,10190,2039,8149,1505,5864,1037,4020,609.7,2539,391.9,2226
4,1,4,3244,13830,2973,12640,2443,10230,1824,7440,1280,5037,810.8,3070,571.1,2528
4,2,3,4005,13290,3675,12150,3039,9956,2224,7258,1458,4814,735,2617,303.9,1734
4,2,4,4647,16030,4268,14670,3534,12100,2592,8838,1700,5835,872,3128,424.2,1969
5,1,3,3024,11560,2723,10290,2147,8013,1568,5726,1156,4267,744.9,3116,545.6,2846
5,1,4,3581,14700,3246,13240,2593,10570,1913,7631,1405,5525,923.7,3746,717.3,3195
5,2,3,4113,12330,3766,11190,3095,8999,2270,6545,1543,4532,847.9,2873,466.8,2396
5,2,4,4664,15560,4275,14210,3521,11590,2594,8477,1775,5852,1020,3557,656.5,2730
6,1,3,1870,11170,1721,10230,1417,8396,1033,6115,674.8,4018,333.7,2077,133.3,1104
6,1,4,2229,13080,2053,12000,1693,9866,1235,7181,805.5,4706,399.6,2410,169.9,1220
6,2,3,3296,13160,3039,12120,2522,10030,1850,7370,1198,4808,577.4,2440,160.2,1053
6,2,4,3780,15550,3485,14330,2893,11870,2121,8724,1373,5677,661.6,2858,184.3,1180
7,1,3,9948,16480,8993,14880,7170,11820,5225,8607,3690,6205,2039,4122,964.4,3456
7,1,4,11420,20520,10350,18630,8286,14920,6042,10910,4234,7746,2318,4949,1070,3955
7,2,3,9577,16320,8716,14780,6977,11790,5085,8516,3539,6040,1922,4018,873.2,3354
7,2,4,11030,20600,10050,18750,8072,15090,5887,10930,4076,7628,2199,4892,982.7,3854
8,1,3,2480,8919,2265,8121,1842,6492,1362,4751,959.7,3294,593.8,2096,418.1,1845
8,1,4,2941,11940,2692,10950,2209,8919,1659,6612,1217,4554,843.1,2708,658.7,2100
