RunNumber,Turbine,m,YawBrMyp,YawBrMzp
1,1,8,4338,3950
1,1,9,4660,4207
1,1,10,4951,4437
1,2,8,3997,3868
1,2,9,4250,4121
1,2,10,4481,4350
2,1,8,3015,2621
2,1,9,3237,2762
2,1,10,3438,2890
2,2,8,2193,2001
2,2,9,2339,2111
2,2,10,2475,2212
3,1,8,5178,5163
3,1,9,5552,5518
3,1,10,5889,5835
3,2,8,4951,5179
3,2,9,5239,5520
3,2,10,5498,5828
4,1,8,3531,3633
4,1,9,3702,3820
4,1,10,3857,3994
4,2,8,2663,2788
4,2,9,2800,2959
4,2,10,2924,3120
5,1,8,4616,4887
5,1,9,4901,5206
5,1,10,5161,5498
5,2,8,3866,4177
5,2,9,4095,4464
5,2,10,4305,4728
6,1,8,1563,1780
6,1,9,1652,1866
6,1,10,1737,1943
6,2,8,1373,1562
6,2,9,1439,1649
6,2,10,1499,1727
7,1,8,5699,6218
7,1,9,6022,6650
7,1,10,6311,7043
7,2,8,5532,5882
7,2,9,5852,6262
7,2,10,6138,6609
8,1,8,2971,2688
8,1,9,3139,2824
8,1,10,3293,2947
8,2,8,2320,2191
8,2,9,2459,2311
8,2,10,2586,2421
9,1,8,5325,5303
9,1,9,5692,5611
9,1,10,6020,5889
9,2,8,4893,4906
9,2,9,5201,5162
9,2,10,5481,5389
10,1,8,2838,3105
10,1,9,3004,3272
10,1,10,3160,3430
10,2,8,2253,2563
10,2,9,2377,2716
10,2,10,2494,2858
11,1,8,4522,5698
11,1,9,4786,6189
11,1,10,5026,6639
11,2,8,4723,5615
11,2,9,5008,6080
11,2,10,5267,6509
12,1,8,2783,2784
12,1,9,2963,2949
12,1,10,3132,3103
12,2,8,2299,2302
12,2,9,2451,2442
12,2,10,2592,2571
13,1,8,4286,4456
13,1,9,4580,4791
13,1,10,4841,5097
13,2,8,3193,3225
13,2,9,3389,3457
13,2,10,3565,3671
14,1,8,2939,2702
14,1,9,3126,2872
14,1,10,3301,3033
14,2,8,2560,2473
14,2,9,2707,2638
14,2,10,2844,2792
15,1,8,4683,4933
15,1,9,4982,5284
15,1,10,5256,5602
15,2,8,4926,5172
15,2,9,5240,5536
15,2,10,5523,5863
16,1,8,3508,2967
16,1,9,3766,3171
16,1,10,3996,3357
16,2,8,2695,2568
16,2,9,2884,2756
16,2,10,3054,2926
17,1,8,4297,4442
17,1,9,4578,4772
17,1,10,4833,5073
17,2,8,4135,4415
17,2,9,4386,4743
17,2,10,4620,5043
18,1,8,2339,2275
18,1,9,2463,2385
18,1,10,2579,2487
18,2,8,1799,1798
18,2,9,1877,1897
18,2,10,1949,1989
19,1,8,4707,4831
19,1,9,5017,5125
19,1,10,5300,5391
19,2,8,4660,4660
19,2,9,4942,4939
19,2,10,5196,5190
20,1,8,2585,2992
20,1,9,2726,3222
20,1,10,2854,3435
20,2,8,2133,2347
20,2,9,2261,2527
20,2,10,2378,2691
21,1,8,4034,3768
21,1,9,4261,3965
21,1,10,4467,4148
21,2,8,3872,3437
21,2,9,4090,3620
21,2,10,4288,3789
22,1,8,1647,1859
22,1,9,1741,1962
22,1,10,1831,2055
22,2,8,1287,1327
22,2,9,1369,1411
22,2,10,1446,1489
23,1,8,4877,4900
23,1,9,5141,5165
23,1,10,5383,5406
23,2,8,5203,4972
23,2,9,5497,5215
23,2,10,5765,5436
24,1,8,4118,3918
24,1,9,4393,4125
24,1,10,4649,4321
24,2,8,3047,2986
24,2,9,3214,3136
24,2,10,3369,3275
25,1,8,4536,4420
25,1,9,4772,4670
25,1,10,4985,4894
25,2,8,4800,4292
25,2,9,5084,4527
25,2,10,5341,4745
26,1,8,3215,3286
26,1,9,3432,3437
26,1,10,3633,3576
26,2,8,2989,2894
26,2,9,3209,3037
26,2,10,3414,3168
27,1,8,5339,5106
27,1,9,5751,5419
27,1,10,6125,5701
27,2,8,5120,5014
27,2,9,5501,5327
27,2,10,5852,5612
28,1,8,3517,3322
28,1,9,3778,3566
28,1,10,4018,3786
28,2,8,2508,2613
28,2,9,2694,2820
28,2,10,2866,3008
29,1,8,4584,4627
29,1,9,4870,4901
29,1,10,5135,5156
29,2,8,3571,3861
29,2,9,3780,4085
29,2,10,3974,4291
30,1,8,1793,1724
30,1,9,1906,1827
30,1,10,2010,1924
30,2,8,1362,1305
30,2,9,1441,1385
30,2,10,1516,1462
31,1,8,5231,4575
31,1,9,5587,4849
31,1,10,5902,5091
31,2,8,5226,4790
31,2,9,5567,5092
31,2,10,5868,5360
32,1,8,4432,5010
32,1,9,4671,5276
32,1,10,4890,5516
32,2,8,3376,3877
32,2,9,3572,4114
32,2,10,3752,4329
33,1,8,4446,4857
33,1,9,4704,5142
33,1,10,4942,5406
33,2,8,4159,4423
33,2,9,4404,4674
33,2,10,4632,4908
34,1,8,2156,2575
34,1,9,2258,2718
34,1,10,2350,2851
34,2,8,1790,2000
34,2,9,1867,2110
34,2,10,1937,2210
35,1,8,4310,4586
35,1,9,4590,4857
35,1,10,4847,5100
35,2,8,4368,4878
35,2,9,4637,5183
35,2,10,4886,5459
36,1,8,2798,3671
36,1,9,2946,3940
36,1,10,3081,4189
36,2,8,2400,2681
36,2,9,2547,2860
36,2,10,2682,3026
37,1,8,3795,3878
37,1,9,4049,4123
37,1,10,4284,4345
37,2,8,3299,3130
37,2,9,3527,3314
37,2,10,3733,3481
38,1,8,1686,1714
38,1,9,1787,1829
38,1,10,1883,1934
38,2,8,1589,1500
38,2,9,1684,1596
38,2,10,1774,1686
39,1,8,5190,5292
39,1,9,5536,5599
39,1,10,5854,5875
39,2,8,5178,5241
39,2,9,5521,5548
39,2,10,5836,5823
40,1,8,2752,2835
40,1,9,2930,3029
40,1,10,3092,3208
40,2,8,2267,2409
40,2,9,2400,2560
40,2,10,2519,2698
41,1,8,4746,4085
41,1,9,5110,4354
41,1,10,5436,4600
41,2,8,4274,3968
41,2,9,4552,4222
41,2,10,4803,4460
42,1,8,3418,3831
